Date,Open,High,Low,Close,action,RSI,portfolio_value
2023-04-20 00:00:00-04:00,164.61,166.38,164.09,165.17,none,60.26074360212462,1667081.3594314675
2023-04-21 00:00:00-04:00,163.58,164.97,163.03,163.55,none,50.3027245206862,1667081.3594314675
2023-04-24 00:00:00-04:00,163.53,164.13,162.43,163.86,none,47.80074191838901,1667081.3594314675
2023-04-25 00:00:00-04:00,163.72,164.83,162.27,162.31,none,45.34942182001004,1667081.3594314675
2023-04-26 00:00:00-04:00,161.61,163.81,161.35,162.3,none,50.0,1667081.3594314675
2023-04-27 00:00:00-04:00,163.72,167.06,163.72,166.91,none,58.52873563218396,1667081.3594314675
2023-04-28 00:00:00-04:00,166.99,168.34,166.39,168.17,none,68.57843137254906,1667081.3594314675
2023-05-01 00:00:00-04:00,167.77,168.93,167.14,168.08,none,72.59989621172822,1667081.3594314675
2023-05-02 00:00:00-04:00,168.58,168.83,166.05,167.04,none,71.30479102956173,1667081.3594314675
2023-05-03 00:00:00-04:00,167.99,169.4,165.67,165.96,none,56.11510791366912,1667081.3594314675
2023-05-04 00:00:00-04:00,163.42,165.55,162.85,164.32,none,51.74909529553675,1667081.3594314675
2023-05-05 00:00:00-04:00,169.46,172.75,169.24,172.03,none,67.03749484960862,1667081.3594314675
2023-05-08 00:00:00-04:00,170.95,172.3,170.58,171.96,none,65.08005192557337,1667081.3594314675
2023-05-09 00:00:00-04:00,171.51,172.0,170.07,170.24,none,58.65709459459466,1667081.3594314675
2023-05-10 00:00:00-04:00,171.48,172.48,170.37,172.02,none,63.98530012249905,1667081.3594314675
2023-05-11 00:00:00-04:00,172.3,173.04,170.64,172.2,none,68.763557483731,1667081.3594314675
2023-05-12 00:00:00-04:00,172.31,172.75,169.71,171.27,none,65.65272496831436,1667081.3594314675
2023-05-15 00:00:00-04:00,171.86,171.91,170.18,170.78,none,68.73065015479882,1667081.3594314675
2023-05-16 00:00:00-04:00,170.7,171.84,170.51,170.78,none,68.76106194690269,1667081.3594314675
2023-05-17 00:00:00-04:00,170.42,171.63,169.14,171.39,none,62.04301075268819,1667081.3594314675
2023-05-18 00:00:00-04:00,171.7,173.92,171.28,173.73,none,64.12601626016264,1667081.3594314675
2023-05-19 00:00:00-04:00,175.06,175.06,173.62,173.84,none,64.61928934010152,1667081.3594314675
2023-05-22 00:00:00-04:00,172.67,173.4,172.14,172.89,none,64.9158592554819,1667081.3594314675
2023-05-23 00:00:00-04:00,171.83,172.08,169.99,170.27,none,60.18912529550829,1667081.3594314675
2023-05-24 00:00:00-04:00,169.8,171.12,169.24,170.55,none,65.74027286508345,1667081.3594314675
2023-05-25 00:00:00-04:00,171.11,172.59,170.4,171.69,none,48.714069591527974,1667081.3594314675
2023-05-26 00:00:00-04:00,172.02,174.45,171.81,174.11,none,56.90430314707774,1667081.3594314675
2023-05-30 00:00:00-04:00,175.63,177.64,175.24,175.97,none,68.23679185232338,1667081.3594314675
2023-05-31 00:00:00-04:00,176.0,178.0,175.43,175.92,none,63.9484978540772,1667081.3594314675
2023-06-01 00:00:00-04:00,176.36,178.76,175.6,178.73,none,69.6568332329922,1667081.3594314675
2023-06-02 00:00:00-04:00,179.67,180.41,177.91,179.59,sell,75.15114873035061,1667081.3594314675
2023-06-05 00:00:00-04:00,181.26,183.56,176.7,178.23,none,71.39574956921302,1667081.3594314675
2023-06-06 00:00:00-04:00,178.62,178.76,176.09,177.86,none,69.91001124859396,1667081.3594314675
2023-06-07 00:00:00-04:00,177.1,179.85,175.99,176.48,none,63.719676549865206,1667081.3594314675
2023-06-08 00:00:00-04:00,176.56,179.48,176.12,179.21,none,64.46673706441395,1667081.3594314675
2023-06-09 00:00:00-04:00,180.13,180.86,179.27,179.6,none,64.98439125910505,1667081.3594314675
2023-06-12 00:00:00-04:00,179.91,182.51,179.61,182.41,none,72.58064516129033,1667081.3594314675
2023-06-13 00:00:00-04:00,181.42,182.76,181.07,181.93,sell,80.78141499472011,1667081.3594314675
2023-06-14 00:00:00-04:00,181.99,183.0,180.65,182.57,none,81.13989637305693,1667081.3594314675
2023-06-15 00:00:00-04:00,182.58,185.12,182.4,184.61,none,81.98019801980195,1667081.3594314675
2023-06-16 00:00:00-04:00,185.32,185.58,182.88,183.53,none,74.97348886532335,1667081.3594314675
2023-06-20 00:00:00-04:00,183.02,184.7,183.02,183.62,none,72.3815096547688,1667081.3594314675
2023-06-21 00:00:00-04:00,183.51,184.01,181.22,182.58,none,68.41814159292038,1667081.3594314675
2023-06-22 00:00:00-04:00,182.36,185.64,182.29,185.59,none,68.7636761487965,1667081.3594314675
2023-06-23 00:00:00-04:00,184.15,186.15,183.62,185.28,none,66.04624929498024,1667081.3594314675
2023-06-26 00:00:00-04:00,185.42,186.63,183.84,183.88,none,65.89758019133372,1667081.3594314675
2023-06-27 00:00:00-04:00,184.49,186.97,184.27,186.64,none,71.77579365079356,1667081.3594314675
2023-06-28 00:00:00-04:00,186.52,188.47,186.19,187.83,sell,78.41762643965951,1667081.3594314675
2023-06-29 00:00:00-04:00,187.66,188.64,187.52,188.16,none,75.46955036994876,1667081.3594314675
2023-06-30 00:00:00-04:00,190.19,193.02,189.82,192.51,none,79.98142127264282,1667081.3594314675
2023-07-03 00:00:00-04:00,192.32,192.42,190.32,191.01,none,71.26607319485657,1667081.3594314675
2023-07-05 00:00:00-04:00,190.13,191.53,189.19,189.89,none,69.07957813998077,1667081.3594314675
2023-07-06 00:00:00-04:00,188.41,190.58,187.78,190.37,none,68.84057971014491,1667081.3594314675
2023-07-07 00:00:00-04:00,189.97,191.22,188.81,189.25,none,61.72901921132452,1667081.3594314675
2023-07-10 00:00:00-04:00,187.84,188.56,185.63,187.19,none,58.81502890173408,1667081.3594314675
2023-07-11 00:00:00-04:00,187.74,187.88,185.2,186.66,none,57.16981132075469,1667081.3594314675
2023-07-12 00:00:00-04:00,188.25,190.26,187.05,188.34,none,63.18681318681315,1667081.3594314675
2023-07-13 00:00:00-04:00,189.07,189.75,188.35,189.11,none,58.9795918367347,1667081.3594314675
2023-07-14 00:00:00-04:00,188.8,189.74,188.2,189.26,none,60.236625514403244,1667081.3594314675
2023-07-17 00:00:00-04:00,190.46,192.86,190.37,192.53,none,70.2956358517128,1667081.3594314675
2023-07-18 00:00:00-04:00,191.9,192.87,190.97,192.27,none,64.96544391281236,1667081.3594314675
2023-07-19 00:00:00-04:00,191.65,196.74,191.2,193.63,none,65.27924130663853,1667081.3594314675
2023-07-20 00:00:00-04:00,193.62,194.99,191.05,191.68,none,58.543689320388374,1667081.3594314675
2023-07-21 00:00:00-04:00,192.64,193.5,189.79,190.5,none,44.234079173838246,1667081.3594314675
2023-07-24 00:00:00-04:00,191.95,193.44,190.8,191.3,none,50.866706515242136,1667081.3594314675
2023-07-25 00:00:00-04:00,191.88,192.98,191.47,192.16,none,56.89131754705528,1667081.3594314675
2023-07-26 00:00:00-04:00,192.21,194.17,191.87,193.04,none,57.913455838767014,1667081.3594314675
2023-07-27 00:00:00-04:00,194.55,195.72,191.1,191.77,none,57.40305522914224,1667081.3594314675
2023-07-28 00:00:00-04:00,193.21,195.15,192.68,194.36,none,70.42735042735053,1667081.3594314675
2023-07-31 00:00:00-04:00,194.58,195.01,193.79,194.97,none,73.56778218944989,1667081.3594314675
2023-08-01 00:00:00-04:00,194.76,195.25,193.81,194.14,none,67.28247914183552,1667081.3594314675
2023-08-02 00:00:00-04:00,193.57,193.71,190.41,191.13,none,55.310199789695034,1667081.3594314675
2023-08-03 00:00:00-04:00,190.13,190.92,189.26,189.73,none,51.159348791317214,1667081.3594314675
2023-08-04 00:00:00-04:00,184.12,185.97,180.55,180.62,none,27.192646495595497,1667081.3594314675
2023-08-07 00:00:00-04:00,180.76,181.75,176.02,177.5,buy,24.508111839834243,1666987.5385606394
2023-08-08 00:00:00-04:00,178.34,178.91,176.24,178.45,none,23.424369747899092,1675900.5212893218
2023-08-09 00:00:00-04:00,179.51,179.57,175.68,176.85,none,23.714994682736545,1660889.181956804
2023-08-10 00:00:00-04:00,178.13,179.39,176.26,176.63,none,24.550458715596264,1658825.1227985828
2023-08-11 00:00:00-04:00,176.22,177.52,175.46,176.69,none,22.44436061863439,1659388.0480235522
2023-08-14 00:00:00-04:00,176.87,178.58,176.21,178.35,none,24.716221164408594,1674962.3125810395
2023-08-15 00:00:00-04:00,177.77,178.37,175.96,176.35,none,20.647203658107586,1656198.1384153923
2023-08-16 00:00:00-04:00,176.03,177.44,175.41,175.48,none,20.941848019978522,1648035.7226533354
2023-08-17 00:00:00-04:00,176.04,176.41,172.41,172.92,none,11.714285714285637,1624017.5797213067
2023-08-18 00:00:00-04:00,171.23,174.02,170.9,173.41,none,11.334289813486365,1628614.8023918904
